# N             E       lndos(E)        epsilon     c_ges
256.000     -1380.800     -1877.635     -0.400     0.001
256.000     -1380.400     -1877.023     -0.400     0.001
256.000     -1380.000     -1876.433     -0.400     0.001
256.000     -1379.600     -1875.846     -0.400     0.001
256.000     -1379.200     -1875.230     -0.400     0.001
256.000     -1378.800     -1874.643     -0.400     0.001
256.000     -1378.400     -1874.042     -0.400     0.001
256.000     -1378.000     -1873.426     -0.400     0.001
256.000     -1377.600     -1872.835     -0.400     0.001
256.000     -1377.200     -1872.225     -0.400     0.001
256.000     -1376.800     -1871.633     -0.400     0.001
256.000     -1376.400     -1871.040     -0.400     0.001
256.000     -1376.000     -1870.432     -0.400     0.001
256.000     -1375.600     -1869.829     -0.400     0.001
256.000     -1375.200     -1869.248     -0.400     0.001
256.000     -1381.200     -1878.221     -0.400     0.001
256.000     -1381.600     -1878.829     -0.400     0.001
256.000     -1382.000     -1879.433     -0.400     0.001
256.000     -1382.400     -1880.025     -0.400     0.001
256.000     -1388.800     -1889.650     -0.400     0.001
256.000     -1388.400     -1889.032     -0.400     0.001
256.000     -1388.000     -1888.437     -0.400     0.001
256.000     -1387.600     -1887.847     -0.400     0.001
256.000     -1387.200     -1887.232     -0.400     0.001
256.000     -1386.800     -1886.637     -0.400     0.001
256.000     -1386.400     -1886.022     -0.400     0.001
256.000     -1389.600     -1890.840     -0.400     0.001
256.000     -1386.000     -1885.438     -0.400     0.001
256.000     -1385.200     -1884.231     -0.400     0.001
256.000     -1384.800     -1883.619     -0.400     0.001
256.000     -1384.400     -1883.028     -0.400     0.001
256.000     -1384.000     -1882.434     -0.400     0.001
256.000     -1383.600     -1881.829     -0.400     0.001
256.000     -1383.200     -1881.233     -0.400     0.001
256.000     -1382.800     -1880.628     -0.400     0.001
256.000     -1385.600     -1884.843     -0.400     0.001
256.000     -1405.200     -1895.528     -0.400     0.001
256.000     -1405.600     -1896.289     -0.400     0.001
256.000     -1406.000     -1897.045     -0.400     0.001
256.000     -1428.000     -1939.228     -0.400     0.001
256.000     -1427.600     -1938.452     -0.400     0.001
256.000     -1427.200     -1937.669     -0.400     0.001
256.000     -1426.800     -1936.914     -0.400     0.001
256.000     -1426.400     -1936.136     -0.400     0.001
256.000     -1426.000     -1935.365     -0.400     0.001
256.000     -1425.600     -1934.568     -0.400     0.001
